sujeto,tarea,epoca,PSD_mu_C3,PSD_mu_C4,PSD_beta_C3,PSD_beta_C4,ApEn_mu_C3,ApEn_beta_C3,ApEn_mu_C4,ApEn_beta_C4,Coh_mu_C3_C4,Coh_beta_C3_C4,CSP_mu_comp1,CSP_mu_comp2,CSP_beta_comp1,CSP_beta_comp2
sub-001,0,0,0.23115163815617779,0.34866787921280323,0.6099351649140237,0.49010117941817816,0.5703997978289768,0.8869040596979083,0.5996522822794499,0.9767590744602961,0.6692314212110083,0.6091605017523991,-1.0940250378613043,-0.7938544878128858,-1.0046948521065002,-1.0887017904110199
sub-001,2,1,0.28675864430509085,0.20645285995748597,0.5603539642465345,0.6636356173718728,0.5789931214832622,0.8901937984946136,0.5900778373737476,0.8645696121605804,0.6462390871782074,0.6774538936437684,-1.5207723100083497,-1.2216792833908066,-1.1289816598071845,-0.8597058934757201
sub-001,0,2,0.38725276672600545,0.4087163768914241,0.34226414020968654,0.3253571346825675,0.5716123188627629,0.9765833007392768,0.5777746183651704,1.0515390531343396,0.7113118832600126,0.6173356858165583,-0.5890683720461442,-0.6922198672567025,-0.6712177495730257,-1.0757373452718577
sub-001,1,3,0.33324353550976343,0.3751852079005013,0.5137368702393812,0.49762261463527424,0.5764811081660577,0.8897572599395129,0.5865942873272707,0.8815702642145071,0.7278509314105024,0.6154707000834724,-0.615035740800213,-0.8794344614833675,-0.9725026673180317,-0.7994559915524019
sub-001,0,4,0.44675526884628725,0.5352075554814574,0.37109141052474354,0.3224052925016419,0.597162590443566,0.9118263967581637,0.5956412837245773,0.8526693554724565,0.8666524187925961,0.606289348451579,-0.9649114948627153,-0.6189374258759304,-0.8872492689691835,-0.7867112182567716
sub-001,2,5,0.3392929444082429,0.4493101361587974,0.486445115817201,0.4352299670766568,0.5675108095394181,0.9160038798873726,0.5600011204169131,0.9718463988250781,0.7355391876985454,0.5232729440265121,-1.0753986578703014,-1.0013898873333507,-0.9226276838701754,-1.2141720442297124
sub-001,0,6,0.36966399932501226,0.3629475443215796,0.5158764072078128,0.48510238545085954,0.5606202997668137,0.9213807039506836,0.6055121506223999,0.9597960865984865,0.5805623062614466,0.6559014140218142,-0.4202025270215388,-0.35701078510695566,-0.5248101524244712,-0.6064614205834264
sub-001,1,7,0.3449367098394487,0.326295415159756,0.5312595719954084,0.5147759653601308,0.5687648760935233,0.9603768283965755,0.5448033598130451,0.948502319982155,0.7401168296490278,0.5780581968624023,-0.6777099891181857,-1.2280956436006936,-0.7698016014258346,-1.065825802004069
sub-001,0,8,0.32157142415254975,0.3860669249937664,0.4066418318490595,0.4030381244091648,0.5839240815644877,0.8720347423955497,0.5711427692358151,0.9215572028667474,0.7322274806285419,0.6666639620062721,-0.5930827310810882,-0.8588303573166556,-0.6195243994453054,-0.9059988314974556
sub-001,1,9,0.5674884308970461,0.328061340345988,0.293636482704422,0.4500873177323763,0.5513107201404184,0.9305315529454159,0.5638311860554408,0.9164038982731553,0.7546481647662986,0.6263415648784931,-0.03079582959615774,-0.7955088493354271,-0.6952155711150972,-0.7280467135727926
sub-001,0,10,0.3090206768366168,0.3955239048248053,0.5061814486749118,0.43217458934329017,0.5518220908012235,0.7506817771150827,0.5594085647676907,0.8053482652378232,0.424948266985969,0.6030970182955938,-0.2784810686351671,-0.10155070488781458,-0.3947256650641708,-0.0276279794837433
sub-001,2,11,0.4871925711551156,0.417343254045605,0.4114527612092288,0.4205127372284803,0.5774470948322179,0.8583451161633029,0.5435463029887897,0.8959954065289866,0.7882999451118802,0.598506207390702,-0.3438632869376626,0.12542147229019415,-0.7045124277965813,-0.34433026118203686
sub-001,0,12,0.44416347357485086,0.5244523644485692,0.4259882596625768,0.4058905731030788,0.5669612360891421,0.9134433037093972,0.5950999450301468,0.8710983069426694,0.3919656303425858,0.58186928909257,0.17604617863219968,-0.218424668516165,-0.32939971538902313,-0.4498404990134835
sub-001,2,13,0.4599349038994066,0.2984612664093764,0.44531029407449385,0.5842931006840691,0.5599190293834306,0.8223520551271166,0.5688918780740027,0.8608327799687929,0.6870518934349114,0.5789727041094673,-0.6091399817603481,-0.730768186703656,-0.6875269542787078,-0.6195808026603237
sub-001,0,14,0.2536492533028483,0.19624515756594288,0.5367107732876629,0.5908051946519663,0.5648091379795783,0.8797951968988453,0.578242730506862,0.8659435602769738,0.6835980877817858,0.5788473656582985,-0.7680385061381496,-1.2121384113157274,-0.5622466676413498,-0.6529890192914183
sub-001,1,15,0.44019437172396536,0.45239116421869613,0.44785663105336937,0.4822608735576596,0.5479309591984745,0.7997128850033279,0.582738584032306,0.8605678314141612,0.7951435716946521,0.49882021502499774,-0.40741729315609754,-0.6616661226299412,-0.6270841566638221,-0.6881834604887381
sub-001,0,16,0.29424738087382807,0.4449534104208956,0.6102944682466135,0.45704543461010444,0.5761467178509498,0.8619262933127336,0.6256989385414387,0.8976282933299808,0.6398315365534432,0.5148950704235581,-0.2187313922810622,-0.12093141048766763,-0.5008506362889187,-0.6114552542365573
sub-001,1,17,0.459807731017571,0.41219869819114074,0.3317742775221663,0.3729093473893345,0.5401284767762013,0.8876806463477838,0.5463071170864326,0.8693883983356097,0.7418883391539408,0.5142603207550082,0.25757746781348567,-0.5764461963388591,-0.22776492345843447,-0.772571350073743
sub-001,0,18,0.41153374679857496,0.3177013396965173,0.34484058057121897,0.38191095946091114,0.5786629169232684,0.9307644418010677,0.5799916830656917,0.8719195145045822,0.630693974335327,0.6781078329567473,0.08259082034984527,-0.19849365081549872,-0.4411128918854867,-0.16560341109124083
sub-001,2,19,0.42912978423747106,0.5138423888757695,0.4106289102668618,0.3976493593283518,0.565257919833221,0.9153013283116289,0.5554701531907287,0.9082286360074878,0.694916964882837,0.5842244078511333,-0.6689948235509415,-0.32412955898889634,-0.8980483811693295,-0.554842906263759
sub-001,0,20,0.4316753505946429,0.49176060872485744,0.39370338992795373,0.3488839804103663,0.564089938461203,0.9066102757921541,0.559061671558228,0.8827434556133547,0.7747218029716334,0.5592394851097037,-0.8047948503677875,-0.1077394512875676,-0.6735666133178165,-0.4547443839448323
sub-001,2,21,0.3180887264706764,0.29502221138686663,0.563671244510853,0.5436138481233138,0.5763535515100635,0.9392430196885275,0.5829170867821127,0.909273208161749,0.8109764755725442,0.6702649288832613,-0.7996416978007347,-0.560117988687962,-0.6280716800727483,-0.779219690074386
sub-001,0,22,0.35490410505095127,0.3480119851814068,0.5518420496119936,0.5358345672652941,0.5828858456569774,0.9779310671912311,0.5860027914351971,0.9936038141158381,0.5386170281671729,0.5448915693448294,0.09699616466330349,-0.6115903418306774,-0.2025269898420845,-0.5400567477236917
sub-001,1,23,0.3390666942891586,0.40441034164332046,0.48197894982865747,0.4135436443492611,0.5823568958928957,0.8661771332274739,0.5703573166474998,0.9686582144993121,0.7740649175064069,0.6506771134727783,-0.4704189357193601,-0.5176914688179052,-0.37796757758122795,-0.8239757414144048
sub-001,0,24,0.36822207279005503,0.32513460847191117,0.48728226559427623,0.5352816006426065,0.5675841956007632,0.8891929843726221,0.5790964500617695,0.9048830942919253,0.6895161783485333,0.45437502342311226,-0.12978571181168147,-0.4922124688659668,-0.438284340510405,-0.2325148536089753
sub-001,2,25,0.2963907750305732,0.34277101935132176,0.36685921030818086,0.45517018252151203,0.5693746557689137,0.866451717955889,0.5666996299466049,0.7694465987640777,0.58360739553675,0.6005440314368863,-0.5083974863170514,-0.3485489797490301,-0.5110986275261051,-0.37197561120123457
sub-001,0,26,0.292192804683,0.27949617359207624,0.5631356720481803,0.6109616938066049,0.6166267461089823,0.8666782645331272,0.5921595998044586,0.9285799087396658,0.6074018719819452,0.5238656448803347,-0.36634350443234115,-1.0210672220748798,-0.47422164438178266,-0.6174674716717947
sub-001,1,27,0.3909468461584675,0.25421787028571563,0.46315153039246554,0.6314288871410813,0.6023183611992682,0.9237917034346124,0.5784702592787712,0.9952102291814047,0.778054939615188,0.6033404327307671,-0.6430963493941894,-0.8602209650473293,-0.8768391904462566,-0.7282475971134167
sub-001,0,28,0.49781499430717446,0.4022918431958885,0.43550700790898506,0.446607734096947,0.585524588297428,0.9973355945937712,0.5793054277938356,0.9816038549950585,0.5229696806111362,0.6100392663669092,-0.6661241572821629,-0.5787151629614892,-0.9354864474083632,-0.8473098372091529
sub-001,2,29,0.3806588867202569,0.31824562395988,0.5418286178695073,0.6114404226891479,0.5670984453099814,0.8616985745258532,0.5634034575528588,0.9001248825237695,0.8163998527557127,0.6278180580729396,-1.224568801914892,-1.0725717609611432,-0.6664392534893877,-0.8102740739526098
sub-001,0,30,0.3929660093175679,0.4230559926005249,0.4676873624032391,0.3843096061451131,0.5690341478096634,0.9109925863186401,0.5579326968207616,0.9897310058614632,0.7261354530637045,0.5487753709376424,-1.1045725923237941,-0.36211317371498375,-0.8567530608027805,-0.5006581364125118
sub-001,2,31,0.4394865612285388,0.45215526840377024,0.4130054543976432,0.42336203849809984,0.5871680595463853,0.9512734072146154,0.5772221694388451,1.0408743705769892,0.6589963322060661,0.5662509679967156,-0.9863147960293297,-0.5280600916882551,-0.8684800089450443,-0.651829168943073
sub-001,0,32,0.38569706922195013,0.44379162629525754,0.5273445149135625,0.42027100864666234,0.5518973448733591,0.9522784902198191,0.568938479453684,0.9131968731406603,0.7115221123694222,0.7309106647644832,-0.9056122372372163,-0.6638093201568969,-0.5857686648776627,-0.8237399732471181
sub-001,1,33,0.3200874359862048,0.28505985078034407,0.4680459671717053,0.5093942029704137,0.5510727937096345,0.9045096450641248,0.5659556503814289,1.0067571349514557,0.6211739572402686,0.5922776404786334,-1.0901623773649125,-0.7376869255831703,-0.9032004963252045,-0.7489555057602124
sub-001,0,34,0.348282848742229,0.34262261554301676,0.43187088082903813,0.4420583237889865,0.575167278740393,0.9096558323355382,0.585406134875901,0.9135212235949348,0.39583886443535093,0.621792426672512,-0.12538629968399007,-0.40594428200468125,-0.4633102619148153,-0.43448560583867274
